Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;11.05;11.05;11.05;11.05;139;11.05
29.11.2021;09:50:00-000;10.9;10.9;10.9;10.9;274;10.9283
29.11.2021;09:51:00-000;10.56;10.56;10.56;10.56;156;10.5897
29.11.2021;09:52:00-000;10.17;10.17;10.17;10.17;165;10.3236
29.11.2021;10:00:00-000;10.77;10.77;10.77;10.77;142;10.7536
29.11.2021;10:46:00-000;10.77;10.77;10.77;10.77;120;10.749
29.11.2021;11:32:00-000;10.5;10.5;10.5;10.5;234;10.4958
29.11.2021;11:38:00-000;10.3197;10.5;10.3197;10.5;337;10.4144
29.11.2021;12:06:00-000;10.32;10.32;10.24;10.3;1231;10.2987
29.11.2021;12:13:00-000;10;10.05;10;10.03;2905;10.0141
29.11.2021;12:14:00-000;10;10;10;10;269;9.9998
29.11.2021;12:19:00-000;10;10.01;10;10.01;1115;10.0009
29.11.2021;12:20:00-000;10;10;10;10;798;10.0024
29.11.2021;12:41:00-000;10.2982;10.2982;10.2982;10.2982;509;10.2954
29.11.2021;12:45:00-000;10.2999;10.2999;10.2999;10.2999;110;10.2867
29.11.2021;12:49:00-000;10.2999;10.2999;10.2999;10.2999;122;10.2846
29.11.2021;12:50:00-000;10.22;10.2805;10.22;10.2805;608;10.2306
29.11.2021;12:51:00-000;10.3;10.3;10.2805;10.2805;339;10.2847
29.11.2021;12:53:00-000;10.3;10.3;10.3;10.3;1451;10.2984
29.11.2021;12:57:00-000;10.3;10.3;10.3;10.3;440;10.2996
29.11.2021;12:59:00-000;10.3;10.3;10.3;10.3;554;10.3027
29.11.2021;13:33:00-000;10.46;10.46;10.4597;10.46;408;10.4585
29.11.2021;13:35:00-000;10.31;10.31;10.31;10.31;531;10.3149
29.11.2021;13:56:00-000;10.47;10.47;10.47;10.47;100;10.47
29.11.2021;13:59:00-000;10.4538;10.4538;10.4538;10.4538;110;10.4489
29.11.2021;14:01:00-000;10.47;10.47;10.47;10.47;266;10.4676
29.11.2021;14:04:00-000;10.4;10.47;10.4;10.47;3613;10.4064
29.11.2021;14:48:00-000;10.41;10.41;10.41;10.41;254;10.4148
29.11.2021;14:59:00-000;10.4586;10.4586;10.4586;10.4586;233;10.4554
29.11.2021;15:05:00-000;10.4121;10.4121;10.4121;10.4121;569;10.4183
29.11.2021;15:42:00-000;10.38;10.38;10.37;10.37;266;10.3961
29.11.2021;15:43:00-000;10.37;10.37;10.37;10.37;732;10.3841
29.11.2021;15:45:00-000;10.31;10.31;10.31;10.31;148;10.3454
29.11.2021;15:49:00-000;10.25;10.25;10.25;10.25;286;10.281
29.11.2021;15:50:00-000;10.23;10.23;10.23;10.23;381;10.2534
29.11.2021;15:51:00-000;10.23;10.3499;10.23;10.3499;554;10.2862
29.11.2021;15:52:00-000;10.23;10.35;10.23;10.35;641;10.2964
29.11.2021;15:53:00-000;10.23;10.35;10.23;10.35;805;10.2952
29.11.2021;15:54:00-000;10.24;10.24;10.24;10.24;446;10.2867
29.11.2021;15:55:00-000;10.305;10.38;10.24;10.24;1466;10.3002
29.11.2021;15:56:00-000;10.25;10.26;10.25;10.26;991;10.2874
29.11.2021;15:57:00-000;10.26;10.26;10.23;10.23;968;10.27
29.11.2021;15:58:00-000;10.36;10.36;10.22;10.22;2230;10.2907
29.11.2021;15:59:00-000;10.22;10.4099;10.22;10.26;2203;10.3392
29.11.2021;16:00:00-000;10.26;10.26;10.26;10.26;491;10.26
29.11.2021;16:10:00-000;10.26;10.26;10.26;10.26;0;0
29.11.2021;18:30:00-000;10.26;10.26;10.26;10.26;0;0
29.11.2021;20:00:00-000;10.26;10.26;10.26;10.26;0;0
