Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:29:00-000;82.22;82.22;82.2;82.2;2094;82.1909
29.11.2021;09:30:00-000;82.34;82.86;82.29;82.74;39566;82.4698
29.11.2021;09:31:00-000;82.71;82.9;82.31;82.31;14406;82.6736
29.11.2021;09:32:00-000;82.41;82.52;82.24;82.25;27761;82.3933
29.11.2021;09:33:00-000;82.42;82.7;82.33;82.34;14632;82.4815
29.11.2021;09:34:00-000;82.49;82.74;82.42;82.74;5575;82.5505
29.11.2021;09:35:00-000;82.62;82.73;82.6;82.7;5539;82.6507
29.11.2021;09:36:00-000;82.64;82.66;82.55;82.58;6463;82.5852
29.11.2021;09:37:00-000;82.61;82.65;82.34;82.45;13713;82.4939
29.11.2021;09:38:00-000;82.41;82.51;82.22;82.22;8957;82.3714
29.11.2021;09:39:00-000;82.2;82.41;82.16;82.41;11993;82.2743
29.11.2021;09:40:00-000;82.345;82.61;82.345;82.58;8304;82.4359
29.11.2021;09:41:00-000;82.67;82.82;82.57;82.58;12128;82.7141
29.11.2021;09:42:00-000;82.565;82.83;82.565;82.74;7343;82.7014
29.11.2021;09:43:00-000;82.765;82.9;82.7;82.85;5799;82.7596
29.11.2021;09:44:00-000;82.85;82.97;82.81;82.97;3482;82.857
29.11.2021;09:45:00-000;83;83.15;82.92;83.02;12581;83.0219
29.11.2021;09:46:00-000;82.84;83.065;82.84;82.9;9670;82.9635
29.11.2021;09:47:00-000;82.91;83.04;82.86;82.96;6038;82.9065
29.11.2021;09:48:00-000;82.96;82.9784;82.89;82.92;2935;82.9295
29.11.2021;09:49:00-000;82.95;82.95;82.72;82.82;12032;82.8512
29.11.2021;09:50:00-000;82.7614;82.82;82.67;82.82;8722;82.7613
29.11.2021;09:51:00-000;82.78;82.8;82.66;82.68;4809;82.712
29.11.2021;09:52:00-000;82.67;82.8;82.67;82.79;4791;82.7741
29.11.2021;09:53:00-000;82.75;82.96;82.72;82.85;8651;82.8243
29.11.2021;09:54:00-000;82.8925;82.94;82.88;82.93;3991;82.9161
29.11.2021;09:55:00-000;82.9;83.02;82.88;83.02;4773;82.9452
29.11.2021;09:56:00-000;83.02;83.1;82.97;83.08;5986;83.0121
29.11.2021;09:57:00-000;83.02;83.12;83.02;83.12;2172;83.0779
29.11.2021;09:58:00-000;83.06;83.11;83.04;83.04;6581;83.0666
29.11.2021;09:59:00-000;83.04;83.13;83.04;83.045;16580;83.0957
29.11.2021;10:00:00-000;83.06;83.3;83.01;83.25;17052;83.1645
29.11.2021;10:01:00-000;83.2;83.25;83.08;83.08;20035;83.1909
29.11.2021;10:02:00-000;83.08;83.12;82.93;82.93;6364;83.0405
29.11.2021;10:03:00-000;82.93;83.03;82.921;83.025;3066;82.9618
29.11.2021;10:04:00-000;83.09;83.25;83.07;83.25;3811;83.1436
29.11.2021;10:05:00-000;83.16;83.39;83.15;83.31;6534;83.2538
29.11.2021;10:06:00-000;83.25;83.25;83.2;83.24;6250;83.2234
29.11.2021;10:07:00-000;83.2;83.255;83.2;83.255;1060;83.2227
