Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;10:05:00-000;53.7184;53.7184;53.7184;53.7184;400;53.7184
29.11.2021;10:34:00-000;53.75;53.75;53.75;53.75;122;53.75
29.11.2021;12:41:00-000;53.9;53.9;53.9;53.9;467;53.9
29.11.2021;12:48:00-000;53.875;53.875;53.875;53.875;178;53.875
29.11.2021;14:35:00-000;53.82;53.82;53.82;53.82;336;53.8455
29.11.2021;14:40:00-000;53.86;53.86;53.86;53.86;400;53.86
29.11.2021;15:27:00-000;53.915;53.915;53.915;53.915;259;53.915
29.11.2021;15:53:00-000;53.949;53.95;53.949;53.95;777;53.9499
29.11.2021;16:10:00-000;53.9244;53.9244;53.9244;53.9244;0;0
29.11.2021;18:30:00-000;53.9244;53.9244;53.9244;53.9244;0;0
29.11.2021;20:00:00-000;53.9244;53.9244;53.9244;53.9244;0;0
