Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:38:00-000;17.55;17.55;17.55;17.55;245;17.55
29.11.2021;08:00:00-000;17.6;17.6;17.6;17.6;3000;17.6
29.11.2021;08:08:00-000;17.51;17.52;17.51;17.52;600;17.5135
29.11.2021;08:33:00-000;17.51;17.51;17.5;17.5;1030;17.5012
29.11.2021;09:24:00-000;17.57;17.57;17.57;17.57;634;17.57
29.11.2021;09:30:00-000;17.59;17.635;17.59;17.6;14882;17.5917
29.11.2021;09:31:00-000;17.67;17.67;17.49;17.5435;6472;17.5729
29.11.2021;09:32:00-000;17.55;17.55;17.55;17.55;807;17.5489
29.11.2021;09:33:00-000;17.455;17.55;17.45;17.46;1428;17.4728
29.11.2021;09:34:00-000;17.48;17.48;17.4;17.4;2243;17.4473
29.11.2021;09:35:00-000;17.35;17.35;17.35;17.35;548;17.3532
29.11.2021;09:36:00-000;17.38;17.38;17.32;17.32;664;17.3522
29.11.2021;09:37:00-000;17.32;17.33;17.32;17.33;1033;17.3316
29.11.2021;09:39:00-000;17.35;17.35;17.313;17.34;2772;17.3343
29.11.2021;09:40:00-000;17.32;17.32;17.29;17.31;1757;17.3056
29.11.2021;09:41:00-000;17.27;17.27;17.27;17.27;561;17.2647
29.11.2021;09:42:00-000;17.2299;17.28;17.2299;17.28;818;17.2485
29.11.2021;09:43:00-000;17.22;17.2399;17.19;17.2399;2890;17.2153
29.11.2021;09:44:00-000;17.19;17.19;17.19;17.19;268;17.1917
29.11.2021;09:45:00-000;17.16;17.17;17.14;17.14;952;17.1555
29.11.2021;09:46:00-000;17.17;17.17;17.16;17.165;894;17.1648
29.11.2021;09:48:00-000;17.14;17.1499;17.14;17.1499;787;17.1477
29.11.2021;09:49:00-000;17.1427;17.1427;17.1;17.1;1262;17.1348
29.11.2021;09:51:00-000;17.05;17.05;16.96;16.99;4536;17.0062
29.11.2021;09:52:00-000;17;17.01;16.96;16.995;2028;16.9804
29.11.2021;09:53:00-000;17;17.02;17;17.02;1385;17.0085
29.11.2021;09:54:00-000;17.06;17.06;17.06;17.06;295;17.0636
29.11.2021;09:55:00-000;17.08;17.08;17.03;17.08;1593;17.0522
29.11.2021;09:56:00-000;17.12;17.12;17.12;17.12;599;17.1192
29.11.2021;09:57:00-000;17.14;17.14;17.14;17.14;545;17.1398
29.11.2021;09:58:00-000;17.12;17.12;17.09;17.09;1682;17.1151
29.11.2021;09:59:00-000;17.11;17.16;17.11;17.16;412;17.1309
29.11.2021;10:00:00-000;17.12;17.12;17.0673;17.0673;2703;17.0868
29.11.2021;10:01:00-000;17.1011;17.11;17.095;17.11;972;17.1067
29.11.2021;10:02:00-000;17.12;17.13;17.11;17.11;2975;17.1197
29.11.2021;10:03:00-000;17.08;17.08;17.05;17.07;687;17.0706
29.11.2021;10:04:00-000;17.0105;17.0105;16.97;16.97;7004;16.9807
29.11.2021;10:05:00-000;16.95;17.0314;16.95;17.03;13489;17.0034
29.11.2021;10:06:00-000;17.02;17.05;17.01;17.05;714;17.0236
