Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:26:00-000;50.55;50.55;50.55;50.55;100;50.55
29.11.2021;09:30:00-000;51.23;51.23;51.23;51.23;1420;51.2289
29.11.2021;09:35:00-000;50.6;50.6;49.75;49.75;2726;50.0563
29.11.2021;09:36:00-000;49.75;49.75;49.75;49.75;593;49.7363
29.11.2021;09:37:00-000;49.97;50.13;49.8;49.8;528;50.0268
29.11.2021;09:38:00-000;50;50;50;50;540;50.0044
29.11.2021;09:40:00-000;49.75;49.97;49.61;49.61;1026;49.7753
29.11.2021;09:41:00-000;49.88;49.98;49.88;49.98;202;49.9266
29.11.2021;09:42:00-000;49.83;49.83;49.83;49.83;134;49.8414
29.11.2021;09:43:00-000;49.9;49.9;49.9;49.9;659;49.8989
29.11.2021;09:44:00-000;49.81;49.84;49.7;49.7;514;49.7936
29.11.2021;09:45:00-000;49.8;49.8;48.99;49.19;2229;49.2998
29.11.2021;09:46:00-000;49.53;49.53;48.95;48.95;565;49.2039
29.11.2021;09:47:00-000;49.59;49.59;49.59;49.59;278;49.5054
29.11.2021;09:48:00-000;49.4;49.47;49.4;49.47;440;49.3054
29.11.2021;09:49:00-000;49.19;49.19;48.805;48.805;458;49.025
29.11.2021;09:50:00-000;48.73;48.73;48.73;48.73;297;48.7933
29.11.2021;09:53:00-000;49.13;49.14;48.9397;48.9397;974;49.0991
29.11.2021;09:54:00-000;49.095;49.095;49.095;49.095;199;49.1522
29.11.2021;09:55:00-000;49.01;49.22;49.01;49.22;240;49.1358
29.11.2021;09:56:00-000;49.4;49.6;49.27;49.555;1016;49.4417
29.11.2021;09:57:00-000;49.48;49.6;49.465;49.47;713;49.4592
29.11.2021;09:58:00-000;49.55;49.71;49.435;49.685;2007;49.6027
29.11.2021;09:59:00-000;49.54;49.54;49.54;49.54;165;49.6383
29.11.2021;10:00:00-000;49.62;49.7;49.58;49.6;1134;49.6157
29.11.2021;10:01:00-000;49.69;49.78;49.69;49.78;752;49.6948
29.11.2021;10:02:00-000;49.695;49.695;49.63;49.695;804;49.6568
29.11.2021;10:03:00-000;49.77;49.77;49.735;49.735;417;49.7316
29.11.2021;10:04:00-000;49.65;49.82;49.65;49.82;484;49.7422
29.11.2021;10:05:00-000;50;50;50;50;274;49.9964
29.11.2021;10:06:00-000;49.895;49.895;49.8807;49.895;400;49.8914
29.11.2021;10:07:00-000;49.98;49.98;49.855;49.855;300;49.8967
29.11.2021;10:08:00-000;49.73;49.73;49.73;49.73;102;49.7345
29.11.2021;10:10:00-000;50.02;50.02;49.86;50;1543;49.9616
29.11.2021;10:11:00-000;50.09;50.09;50.09;50.09;101;50.088
29.11.2021;10:13:00-000;49.93;50.06;49.845;50.06;2323;49.9361
29.11.2021;10:18:00-000;50.3;50.3;50.24;50.24;298;50.2969
29.11.2021;10:20:00-000;50.62;50.62;50.62;50.62;173;50.6036
29.11.2021;10:23:00-000;50.33;50.33;50.2088;50.2088;583;50.2608
29.11.2021;10:24:00-000;50.06;50.47;50.06;50.16;304;50.2306
29.11.2021;10:25:00-000;50.16;50.16;50.16;50.16;101;50.1599
29.11.2021;10:26:00-000;50;50;50;50;1051;50.0008
29.11.2021;10:27:00-000;49.87;49.99;49.805;49.805;1244;49.8572
29.11.2021;10:28:00-000;49.98;49.98;49.875;49.9;1701;49.9533
29.11.2021;10:29:00-000;49.95;49.95;49.925;49.925;1017;49.959
29.11.2021;10:30:00-000;49.995;49.995;49.995;49.995;200;49.995
29.11.2021;10:31:00-000;50.05;50.09;49.865;49.87;1101;49.9958
29.11.2021;10:33:00-000;49.82;49.83;49.82;49.83;1653;49.8244
29.11.2021;10:34:00-000;49.83;49.84;49.8;49.84;515;49.8248
29.11.2021;10:35:00-000;49.84;49.94;49.84;49.94;833;49.8735
29.11.2021;10:36:00-000;49.985;49.985;49.985;49.985;210;49.9838
29.11.2021;10:37:00-000;50;50;49.95;49.95;381;50.0725
29.11.2021;10:40:00-000;49.85;49.85;49.85;49.85;129;49.8483
29.11.2021;10:41:00-000;49.85;49.85;49.85;49.85;200;49.85
29.11.2021;10:42:00-000;49.94;49.94;49.94;49.94;112;49.9232
