Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;47.63;47.63;47.63;47.63;305;47.6309
29.11.2021;09:33:00-000;47.33;47.33;47.33;47.33;101;47.3328
29.11.2021;09:42:00-000;47.26;47.26;47.16;47.16;450;47.2267
29.11.2021;09:47:00-000;47.0192;47.0192;47.0192;47.0192;100;47.0192
29.11.2021;09:49:00-000;47.16;47.16;47.16;47.16;142;47.16
29.11.2021;09:50:00-000;47.01;47.01;47.01;47.01;5000;47.01
29.11.2021;09:53:00-000;47.07;47.13;47.07;47.13;500;47.082
29.11.2021;09:54:00-000;47.16;47.16;47.16;47.16;200;47.155
29.11.2021;10:00:00-000;47.25;47.25;47.2;47.2;1200;47.22
29.11.2021;10:02:00-000;47.16;47.16;47.16;47.16;100;47.16
29.11.2021;10:05:00-000;47.14;47.18;47.14;47.18;1243;47.1536
29.11.2021;10:08:00-000;47.06;47.06;47.06;47.06;500;47.06
29.11.2021;10:09:00-000;47.15;47.15;47.15;47.15;200;47.145
29.11.2021;10:14:00-000;47.02;47.02;47.02;47.02;100;47.02
29.11.2021;10:15:00-000;47.04;47.04;47.04;47.04;178;47.0558
29.11.2021;10:26:00-000;47.125;47.125;47.03;47.03;1000;47.0795
29.11.2021;10:27:00-000;47;47;47;47;142;46.9996
29.11.2021;10:28:00-000;46.96;46.96;46.96;46.96;136;46.9512
29.11.2021;10:32:00-000;46.87;46.87;46.87;46.87;400;46.87
29.11.2021;10:37:00-000;46.75;46.75;46.739;46.739;1218;46.7396
29.11.2021;10:39:00-000;46.74;46.75;46.74;46.75;200;46.745
29.11.2021;10:48:00-000;46.82;46.82;46.82;46.82;400;46.82
29.11.2021;10:49:00-000;46.75;46.75;46.75;46.75;100;46.75
29.11.2021;10:52:00-000;46.79;46.79;46.79;46.79;220;46.7895
29.11.2021;11:01:00-000;46.83;46.83;46.83;46.83;110;46.83
29.11.2021;11:06:00-000;46.82;46.82;46.82;46.82;169;46.8159
29.11.2021;11:17:00-000;46.87;46.89;46.86;46.89;1132;46.8635
29.11.2021;11:20:00-000;46.88;46.88;46.88;46.88;188;46.875
29.11.2021;11:21:00-000;46.91;46.91;46.91;46.91;247;46.9035
29.11.2021;11:23:00-000;46.93;46.93;46.93;46.93;166;46.93
29.11.2021;11:25:00-000;46.86;46.86;46.85;46.85;400;46.855
29.11.2021;11:26:00-000;46.8255;46.8255;46.81;46.81;231;46.8181
29.11.2021;11:27:00-000;46.79;46.79;46.79;46.79;796;46.79
29.11.2021;11:30:00-000;46.81;46.81;46.81;46.81;200;46.81
29.11.2021;11:44:00-000;46.71;46.71;46.71;46.71;400;46.71
29.11.2021;11:47:00-000;46.74;46.74;46.74;46.74;100;46.74
29.11.2021;11:57:00-000;46.6865;46.6865;46.6865;46.6865;1071;46.6865
