Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:30:00-000;1.57;2.36;1.57;1.83;199189;1.9999
29.11.2021;08:31:00-000;1.83;1.92;1.74;1.89;111427;1.8281
29.11.2021;08:32:00-000;1.87;2.06;1.82;2.04;165169;1.9489
29.11.2021;08:33:00-000;2.06;2.39;2;2.29;308096;2.2119
29.11.2021;08:34:00-000;2.28;2.29;2.11;2.24;152430;2.1876
29.11.2021;08:35:00-000;2.26;2.46;2.25;2.34;252350;2.3457
29.11.2021;08:36:00-000;2.34;2.45;2.28;2.45;230785;2.3409
29.11.2021;08:37:00-000;2.4;2.55;2.36;2.44;351610;2.4473
29.11.2021;08:38:00-000;2.44;2.51;2.38;2.5;291182;2.4408
29.11.2021;08:39:00-000;2.5;2.53;2.42;2.44;206424;2.468
29.11.2021;08:40:00-000;2.45;2.47;2.3;2.31;304858;2.388
29.11.2021;08:41:00-000;2.31;2.39;2.25;2.26;260451;2.3211
29.11.2021;08:42:00-000;2.25;2.27;2.17;2.22;332415;2.2253
29.11.2021;08:43:00-000;2.22;2.25;2.15;2.17;149846;2.2058
29.11.2021;08:44:00-000;2.16;2.17;2.05;2.06;400143;2.1125
29.11.2021;08:45:00-000;2.06;2.08;1.98;2.03;365809;2.0322
29.11.2021;08:46:00-000;2.04;2.12;2.02;2.11;207324;2.0766
29.11.2021;08:47:00-000;2.11;2.11;2.02;2.05;159479;2.0537
29.11.2021;08:48:00-000;2.05;2.05;1.95;1.97;313753;1.9819
29.11.2021;08:49:00-000;1.97;1.99;1.94;1.99;165103;1.9719
29.11.2021;08:50:00-000;1.98;2.02;1.92;2.01;86995;2.0004
29.11.2021;08:51:00-000;2.01;2.09;2;2.08;102681;2.0349
29.11.2021;08:52:00-000;2.08;2.08;2;2.07;128582;2.0555
29.11.2021;08:53:00-000;2.07;2.08;1.96;1.99;155432;2.011
29.11.2021;08:54:00-000;1.99;2;1.97;1.99;109600;1.9826
29.11.2021;08:55:00-000;1.99;1.99;1.97;1.98;31468;1.9793
29.11.2021;08:56:00-000;1.97;2;1.95;1.99;53412;1.968
29.11.2021;08:57:00-000;1.99;2.03;1.98;2.01;63155;1.9971
29.11.2021;08:58:00-000;2;2.01;1.96;1.99;56460;1.9877
29.11.2021;08:59:00-000;1.99;2.02;1.97;2.01;35342;1.9948
29.11.2021;09:00:00-000;2.01;2.04;2;2.0301;55133;2.0205
29.11.2021;09:01:00-000;2.03;2.03;1.98;1.98;59528;2.0081
29.11.2021;09:02:00-000;1.98;1.98;1.9;1.91;158770;1.9437
29.11.2021;09:03:00-000;1.91;1.92;1.86;1.87;227374;1.8821
29.11.2021;09:04:00-000;1.87;1.89;1.86;1.89;82930;1.8738
29.11.2021;09:05:00-000;1.88;1.89;1.86;1.88;20360;1.8764
29.11.2021;09:06:00-000;1.88;1.89;1.86;1.89;56549;1.8701
29.11.2021;09:07:00-000;1.89;1.89;1.87;1.87;32631;1.8786
29.11.2021;09:08:00-000;1.88;1.88;1.85;1.85;89481;1.8611
29.11.2021;09:09:00-000;1.86;1.86;1.83;1.83;42484;1.8466
29.11.2021;09:10:00-000;1.83;1.85;1.83;1.83;51018;1.8371
29.11.2021;09:11:00-000;1.83;1.86;1.83;1.86;60827;1.8476
29.11.2021;09:12:00-000;1.86;1.87;1.85;1.87;29454;1.8596
29.11.2021;09:13:00-000;1.87;1.87;1.84;1.84;38759;1.8554
29.11.2021;09:14:00-000;1.85;1.85;1.84;1.85;13667;1.8469
29.11.2021;09:15:00-000;1.85;1.85;1.84;1.85;14588;1.8497
29.11.2021;09:16:00-000;1.85;1.86;1.85;1.85;11584;1.8573
29.11.2021;09:17:00-000;1.86;1.88;1.86;1.88;73322;1.8724
29.11.2021;09:18:00-000;1.88;1.89;1.88;1.89;45231;1.8886
29.11.2021;09:19:00-000;1.89;1.95;1.89;1.91;79926;1.9151
29.11.2021;09:20:00-000;1.92;1.95;1.89;1.89;76688;1.9164
29.11.2021;09:21:00-000;1.9;1.93;1.89;1.91;39246;1.9076
29.11.2021;09:22:00-000;1.91;1.92;1.89;1.89;45760;1.9003
29.11.2021;09:23:00-000;1.9;1.9;1.87;1.89;40531;1.888
29.11.2021;09:24:00-000;1.88;1.89;1.88;1.88;5383;1.8824
29.11.2021;09:25:00-000;1.8799;1.89;1.85;1.86;39728;1.8745
