Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:14:00-000;8.5;8.5;8.5;8.5;100;8.5
29.11.2021;09:30:00-000;8.48;8.49;8.47;8.48;18428;8.4798
29.11.2021;09:31:00-000;8.48;8.48;8.48;8.48;4513;8.4801
29.11.2021;09:32:00-000;8.48;8.48;8.48;8.48;3109;8.48
29.11.2021;09:34:00-000;8.48;8.48;8.48;8.48;1855;8.48
29.11.2021;09:35:00-000;8.48;8.48;8.48;8.48;102;8.48
29.11.2021;09:36:00-000;8.48;8.49;8.48;8.48;5850;8.4831
29.11.2021;09:37:00-000;8.485;8.485;8.485;8.485;304;8.4849
29.11.2021;09:38:00-000;8.49;8.49;8.49;8.49;100;8.49
29.11.2021;09:39:00-000;8.485;8.49;8.48;8.485;5683;8.4846
29.11.2021;09:40:00-000;8.49;8.49;8.4816;8.485;1250;8.4858
29.11.2021;09:41:00-000;8.485;8.485;8.485;8.485;724;8.485
29.11.2021;09:42:00-000;8.49;8.49;8.485;8.485;2391;8.487
29.11.2021;09:43:00-000;8.48;8.48;8.48;8.48;1401;8.48
29.11.2021;09:44:00-000;8.485;8.485;8.485;8.485;200;8.485
29.11.2021;09:45:00-000;8.48;8.485;8.48;8.48;966;8.4805
29.11.2021;09:46:00-000;8.48;8.49;8.48;8.485;18273;8.4816
29.11.2021;09:47:00-000;8.485;8.49;8.485;8.485;2197;8.488
29.11.2021;09:48:00-000;8.485;8.49;8.48;8.485;12278;8.4816
29.11.2021;09:50:00-000;8.485;8.485;8.485;8.485;504;8.485
29.11.2021;09:51:00-000;8.485;8.485;8.485;8.485;837;8.485
29.11.2021;09:52:00-000;8.48;8.48;8.48;8.48;7281;8.4801
29.11.2021;09:53:00-000;8.485;8.485;8.485;8.485;509;8.485
29.11.2021;09:54:00-000;8.485;8.485;8.485;8.485;771;8.4847
29.11.2021;09:55:00-000;8.485;8.49;8.48;8.485;15424;8.4814
29.11.2021;09:56:00-000;8.49;8.49;8.49;8.49;250;8.488
29.11.2021;09:59:00-000;8.48;8.48;8.48;8.48;901;8.48
29.11.2021;10:00:00-000;8.485;8.485;8.48;8.485;6763;8.4803
29.11.2021;10:01:00-000;8.48;8.48;8.48;8.48;712;8.48
29.11.2021;10:02:00-000;8.48;8.48;8.48;8.48;604;8.48
29.11.2021;10:03:00-000;8.48;8.48;8.48;8.48;400;8.48
29.11.2021;10:04:00-000;8.48;8.48;8.48;8.48;12875;8.48
29.11.2021;10:05:00-000;8.48;8.48;8.48;8.48;2313;8.48
29.11.2021;10:06:00-000;8.48;8.485;8.48;8.48;2752;8.4806
29.11.2021;10:07:00-000;8.48;8.48;8.48;8.48;2220;8.48
29.11.2021;10:08:00-000;8.48;8.48;8.48;8.48;300;8.48
29.11.2021;10:09:00-000;8.485;8.49;8.48;8.48;708;8.4849
29.11.2021;10:10:00-000;8.48;8.485;8.48;8.48;3218;8.4802
29.11.2021;10:12:00-000;8.48;8.48;8.48;8.48;400;8.48
29.11.2021;10:13:00-000;8.48;8.48;8.48;8.48;2731;8.48
29.11.2021;10:15:00-000;8.48;8.48;8.48;8.48;409;8.4801
29.11.2021;10:16:00-000;8.485;8.485;8.48;8.48;1617;8.4803
29.11.2021;10:17:00-000;8.48;8.485;8.48;8.48;10094;8.4801
29.11.2021;10:18:00-000;8.48;8.485;8.48;8.48;35627;8.48
29.11.2021;10:19:00-000;8.485;8.49;8.48;8.49;3585;8.4811
29.11.2021;10:20:00-000;8.48;8.485;8.48;8.48;2971;8.4809
29.11.2021;10:21:00-000;8.48;8.48;8.48;8.48;142;8.4805
29.11.2021;10:22:00-000;8.48;8.48;8.48;8.48;5141;8.48
29.11.2021;10:23:00-000;8.48;8.48;8.48;8.48;1912;8.48
29.11.2021;10:24:00-000;8.48;8.48;8.475;8.475;34377;8.4789
29.11.2021;10:25:00-000;8.48;8.48;8.475;8.475;68668;8.4754
29.11.2021;10:26:00-000;8.475;8.475;8.47;8.47;3539;8.4714
29.11.2021;10:27:00-000;8.47;8.475;8.47;8.47;8202;8.4703
29.11.2021;10:28:00-000;8.475;8.475;8.475;8.475;122;8.4751
29.11.2021;10:29:00-000;8.475;8.475;8.475;8.475;157;8.475
29.11.2021;10:30:00-000;8.475;8.475;8.47;8.475;961;8.4745
29.11.2021;10:31:00-000;8.47;8.475;8.47;8.4701;457;8.4712
29.11.2021;10:32:00-000;8.475;8.475;8.47;8.47;1306;8.4719
29.11.2021;10:33:00-000;8.47;8.475;8.47;8.475;200;8.4725
29.11.2021;10:34:00-000;8.475;8.475;8.47;8.475;7359;8.4715
29.11.2021;10:35:00-000;8.475;8.48;8.47;8.475;2741;8.4766
29.11.2021;10:36:00-000;8.48;8.48;8.47;8.47;2427;8.4709
29.11.2021;10:37:00-000;8.475;8.475;8.47;8.47;6042;8.4705
29.11.2021;10:38:00-000;8.475;8.475;8.47;8.47;1246;8.4705
29.11.2021;10:39:00-000;8.47;8.475;8.47;8.47;2631;8.4702
29.11.2021;10:40:00-000;8.475;8.475;8.47;8.47;8424;8.4703
29.11.2021;10:41:00-000;8.47;8.47;8.47;8.47;413;8.47
29.11.2021;10:42:00-000;8.475;8.475;8.47;8.47;759;8.471
29.11.2021;10:43:00-000;8.47;8.475;8.47;8.47;2114;8.4712
29.11.2021;10:44:00-000;8.475;8.48;8.47;8.47;2437;8.475
29.11.2021;10:45:00-000;8.47;8.475;8.47;8.475;8294;8.4701
29.11.2021;10:46:00-000;8.47;8.47;8.47;8.47;315;8.4703
29.11.2021;10:47:00-000;8.475;8.475;8.47;8.47;304;8.4716
29.11.2021;10:48:00-000;8.47;8.47;8.47;8.47;601;8.4708
29.11.2021;10:49:00-000;8.47;8.475;8.47;8.47;1024;8.4716
29.11.2021;10:50:00-000;8.475;8.475;8.47;8.47;1630;8.4705
29.11.2021;10:51:00-000;8.47;8.475;8.47;8.475;205;8.4725
29.11.2021;10:52:00-000;8.47;8.47;8.47;8.47;8403;8.47
29.11.2021;10:53:00-000;8.47;8.475;8.47;8.475;315;8.4737
29.11.2021;10:54:00-000;8.47;8.475;8.47;8.47;351;8.4717
29.11.2021;10:55:00-000;8.475;8.475;8.47;8.47;701;8.4729
29.11.2021;10:56:00-000;8.475;8.475;8.47;8.47;304;8.4716
29.11.2021;10:57:00-000;8.47;8.48;8.47;8.47;23507;8.4703
29.11.2021;10:58:00-000;8.475;8.475;8.47;8.47;338;8.4734
